*runtime[h] lower[m] comp release[Bq/s]
0.50 3253 Aerosol_20.6mym 1.7520E+16
0.50 3253 Aerosol_22.7mym 1.7520E+16
0.50 3253 Aerosol_24.8mym 1.7520E+16
0.50 3253 Aerosol_26.9mym 1.7520E+16
0.50 3253 Aerosol_29.0mym 1.7520E+16
0.50 3253 Aerosol_32.2mym 2.5764E+16
0.50 3253 Aerosol_35.4mym 2.5764E+16
0.50 3253 Aerosol_38.6mym 2.5764E+16
0.50 3253 Aerosol_41.8mym 2.5764E+16
0.50 3253 Aerosol_45.0mym 2.5764E+16
0.50 3253 Aerosol_50.2mym 2.4733E+16
0.50 3253 Aerosol_55.4mym 2.4733E+16
0.50 3253 Aerosol_60.6mym 2.4733E+16
0.50 3253 Aerosol_65.8mym 2.4733E+16
0.50 3253 Aerosol_71.0mym 2.4733E+16
0.50 3253 Aerosol_80.8mym 1.7520E+16
0.50 3253 Aerosol_90.6mym 1.7520E+16
0.50 3253 Aerosol_100.4mym 1.7520E+16
0.50 3253 Aerosol_110.2mym 1.7520E+16
0.50 3253 Aerosol_120.0mym 1.7520E+16
0.50 3253 Aerosol_146.0mym 6.1834E+15
0.50 3253 Aerosol_172.0mym 6.1834E+15
0.50 3253 Aerosol_198.0mym 6.1834E+15
0.50 3253 Aerosol_224.0mym 6.1834E+15
0.50 3253 Aerosol_250.0mym 6.1834E+15
0.50 3253 Aerosol_400.0mym 1.0306E+15
0.50 3253 Aerosol_550.0mym 1.0306E+15
0.50 3253 Aerosol_700.0mym 1.0306E+15
0.50 3253 Aerosol_850.0mym 1.0306E+15
0.50 3253 Aerosol_1000.0mym 1.0306E+15
0.50 3367 Aerosol_2.3mym 1.8602E+15
0.50 3367 Aerosol_4.6mym 1.8602E+15
0.50 3367 Aerosol_6.9mym 1.8602E+15
0.50 3367 Aerosol_9.2mym 1.8602E+15
0.50 3367 Aerosol_11.5mym 1.8602E+15
0.50 3367 Aerosol_12.9mym 7.4409E+15
0.50 3367 Aerosol_14.3mym 7.4409E+15
0.50 3367 Aerosol_15.7mym 7.4409E+15
0.50 3367 Aerosol_17.1mym 7.4409E+15
0.50 3367 Aerosol_18.5mym 7.4409E+15
0.50 3367 Aerosol_20.6mym 1.5812E+16
0.50 3367 Aerosol_22.7mym 1.5812E+16
0.50 3367 Aerosol_24.8mym 1.5812E+16
0.50 3367 Aerosol_26.9mym 1.5812E+16
0.50 3367 Aerosol_29.0mym 1.5812E+16
0.50 3367 Aerosol_32.2mym 2.3253E+16
0.50 3367 Aerosol_35.4mym 2.3253E+16
0.50 3367 Aerosol_38.6mym 2.3253E+16
0.50 3367 Aerosol_41.8mym 2.3253E+16
0.50 3367 Aerosol_45.0mym 2.3253E+16
0.50 3367 Aerosol_50.2mym 2.2323E+16
0.50 3367 Aerosol_55.4mym 2.2323E+16
0.50 3367 Aerosol_60.6mym 2.2323E+16
0.50 3367 Aerosol_65.8mym 2.2323E+16
0.50 3367 Aerosol_71.0mym 2.2323E+16
0.50 3367 Aerosol_80.8mym 1.5812E+16
0.50 3367 Aerosol_90.6mym 1.5812E+16
0.50 3367 Aerosol_100.4mym 1.5812E+16
0.50 3367 Aerosol_110.2mym 1.5812E+16
0.50 3367 Aerosol_120.0mym 1.5812E+16
0.50 3367 Aerosol_146.0mym 5.5806E+15
0.50 3367 Aerosol_172.0mym 5.5806E+15
0.50 3367 Aerosol_198.0mym 5.5806E+15
0.50 3367 Aerosol_224.0mym 5.5806E+15
0.50 3367 Aerosol_250.0mym 5.5806E+15
0.50 3367 Aerosol_400.0mym 9.3011E+14
0.50 3367 Aerosol_550.0mym 9.3011E+14
0.50 3367 Aerosol_700.0mym 9.3011E+14
0.50 3367 Aerosol_850.0mym 9.3011E+14
0.50 3367 Aerosol_1000.0mym 9.3011E+14
0.50 3482 Aerosol_2.3mym 1.6270E+15
0.50 3482 Aerosol_4.6mym 1.6270E+15
0.50 3482 Aerosol_6.9mym 1.6270E+15
0.50 3482 Aerosol_9.2mym 1.6270E+15
0.50 3482 Aerosol_11.5mym 1.6270E+15
0.50 3482 Aerosol_12.9mym 6.5078E+15
0.50 3482 Aerosol_14.3mym 6.5078E+15
0.50 3482 Aerosol_15.7mym 6.5078E+15
0.50 3482 Aerosol_17.1mym 6.5078E+15
0.50 3482 Aerosol_18.5mym 6.5078E+15
0.50 3482 Aerosol_20.6mym 1.3829E+16
0.50 3482 Aerosol_22.7mym 1.3829E+16
0.50 3482 Aerosol_24.8mym 1.3829E+16
0.50 3482 Aerosol_26.9mym 1.3829E+16
0.50 3482 Aerosol_29.0mym 1.3829E+16
0.50 3482 Aerosol_32.2mym 2.0337E+16
0.50 3482 Aerosol_35.4mym 2.0337E+16
0.50 3482 Aerosol_38.6mym 2.0337E+16
0.50 3482 Aerosol_41.8mym 2.0337E+16
0.50 3482 Aerosol_45.0mym 2.0337E+16
0.50 3482 Aerosol_50.2mym 1.9524E+16
0.50 3482 Aerosol_55.4mym 1.9524E+16
0.50 3482 Aerosol_60.6mym 1.9524E+16
0.50 3482 Aerosol_65.8mym 1.9524E+16
0.50 3482 Aerosol_71.0mym 1.9524E+16
0.50 3482 Aerosol_80.8mym 1.3829E+16
0.50 3482 Aerosol_90.6mym 1.3829E+16
0.50 3482 Aerosol_100.4mym 1.3829E+16
0.50 3482 Aerosol_110.2mym 1.3829E+16
0.50 3482 Aerosol_120.0mym 1.3829E+16
0.50 3482 Aerosol_146.0mym 4.8809E+15
0.50 3482 Aerosol_172.0mym 4.8809E+15
0.50 3482 Aerosol_198.0mym 4.8809E+15
0.50 3482 Aerosol_224.0mym 4.8809E+15
0.50 3482 Aerosol_250.0mym 4.8809E+15
0.50 3482 Aerosol_400.0mym 8.1348E+14
0.50 3482 Aerosol_550.0mym 8.1348E+14
0.50 3482 Aerosol_700.0mym 8.1348E+14
