# Mastin&al:2009a
# Preliminary spreadsheet of eruption source parameters for volcanoes of the world.
# Open-File Report, U.S. Geological Survey, 2009. Number 2009-1133.
# L.G. Mastin, M. Guffanti, J.E. Ewert and J. Spiegel.
# http://pubs.usgs.gov/of/2009/1133
#NUMBER,RN,SN,VN,NAME,LOCATION,STATUS,LATITUDE,NS,VF,LONGITUDE,EW,ELEV,TYPE,TIMEFRAME,ERUPTION TYPE
0204-003,02,04,-003,San_Joaquin,Africa-W,Holocene, 3.35,N,,  8.63,E,2009,Shield volcano,U,M0
0204-004,02,04,-004,Santa_Isabel,Africa-W,Historical, 3.58,N,*,  8.75,E,3007,Shield volcano,D2,M0
0204-011,02,04,-011,Tombel_Graben,Africa-W,Holocene, 4.75,N,*,  9.67,E,500,Cinder cones,U,M0
0204-01=,02,04,-01-,Cameroon,Africa-W,Historical, 4.203,N,,  9.170,E,4095,Stratovolcano,D1,M1
0204-02-,02,04,-02-,Manengouba,Africa-W,Holocene?, 5.03,N,,  9.83,E,2411,Stratovolcano,?,M0
0204-03-,02,04,-03-,Oku_Volc_Field,Africa-W,Holocene?, 6.25,N,*, 10.50,E,3011,Stratovolcano,?,M0
0204-04-,02,04,-04-,Ngaoundere_Plateau,Africa-W,Holocene?, 7.25,N,*, 13.67,E,,Volcanic field,?,M0
0204-05-,02,04,-05-,Biu_Plateau,Africa-W,Holocene?,10.75,N,*, 12.00,E,,Volcanic field,?,M0
0205-001,02,05,-001,Todra_Volc_Field,Africa-N,Holocene,17.68,N,*,  8.50,E,1780,Cinder cones,U,M0
0205-002,02,05,-002,Tin_Zaouatene_Volc_Field,Africa-N,Holocene,19.83,N,*,  2.83,E,,Volcanic field,U,M0
0205-003,02,05,-003,In_Ezzane_Volc_Field,Africa-N,Holocene?,23.00,N,*, 10.83,E,,Volcanic field,?,M0
0205-004,02,05,-004,Tahalra_Volc_Field,Africa-N,Holocene,22.67,N,*,  5.00,E,1467,Pyroclastic cones,U,M0
0205-005,02,05,-005,Atakor_volc_field,Africa-N,Holocene,23.33,N,*,  5.83,E,2918,Scoria cones,U,M0
0205-006,02,05,-006,Manzaz_volc_field,Africa-N,Holocene,23.92,N,*,  5.83,E,1672,Scoria cones,U,M0
0205-007,02,05,-007,Haruj,Africa-N,Holocene,27.25,N,*, 17.50,E,1200,Volcanic field,U,M0
0205-008,02,05,-008,Wau_en_Namus,Africa-N,Holocene?,25.05,N,*, 17.55,E,547,Caldera,?,M0
0205-009,02,05,-009,Toh_Tarso,Africa-N,Holocene,21.33,N,*, 16.33,E,2000,Volcanic field,U,M0
0205-01=,02,05,-01-,Tousside_Tarso,Africa-N,Holocene,21.03,N,, 16.45,E,3265,Stratovolcano,U,S0
0205-021,02,05,-021,Koussi_Emi,Africa-N,Holocene,19.80,N,, 18.53,E,3415,Pyroclastic shield,U,S0
0205-02=,02,05,-02-,Voon_Tarso,Africa-N,Fumarolic,20.92,N,, 17.28,E,3100,Stratovolcano,U,S0
0205-03-,02,05,-03-,Marra_Jebel,Africa-N,Radiocarbon,12.95,N,, 24.27,E,3042,Volcanic field,D7,M0
0205-04-,02,05,-04-,Kutum_volc_field,Africa-N,Holocene?,14.57,N,*, 25.85,E,,Scoria cones,?,M0
0205-05-,02,05,-05-,Meidob_volc_field,Africa-N,Holocene,15.32,N,*, 26.47,E,2000,Scoria cones,D7,M0
0205-06-,02,05,-06-,Bayuda_volc_field,Africa-N,Radiocarbon,18.33,N,*, 32.75,E,670,Cinder cones,D6,M0
0205-07-,02,05,-07-,Umm_Arafieb_Jebel,Africa-N,Holocene?,18.17,N,*, 33.83,E,,Shield volcano,?,M0
0300-01-,03,00,-01-,Sharat_Kovakab,Syria,Holocene,36.53,N,*, 40.85,E,534,Volcanic field,U,M0
0300-02-,03,00,-02-,Unnamed,Syria,Historical,36.67,N,*, 37.00,E,,Volcanic field,D6,M0
0300-03-,03,00,-03-,Golan_Heights,Syria,Holocene,33.10,N,*, 35.97,E,1197,Volcanic field,U,M0
0300-04-,03,00,-04-,Unnamed,Syria,Holocene,33.00,N,*, 36.43,E,945,Volcanic field,U,M0
0300-05-,03,00,-05-,Es_Safa,Syria,Historical,33.25,N,*, 37.07,E,979,Volcanic field,D3,M0
0300-06-,03,00,-06-,Druze_Jabal_ad,Syria,Holocene,32.658,N,*, 36.425,E,1803,Volcanic field,U,M0
0301-001,03,01,-001,Al_Harrah,Arabia-W,Holocene,31.08,N,*, 38.42,E,1100,Volcanic field,U,M0
0301-01=,03,01,-01-,Harrat_ar_Rahah,Arabia-W,Anthropology,27.80,N,*, 36.17,E,1950,Volcanic field,U,M0
0301-02=,03,01,-02-,Harrat_Uwayrid,Arabia-W,Anthropology,27.08,N,*, 37.25,E,1920,Volcanic field,D6,M0
0301-04-,03,01,-04-,Lunayyir_Harrat,Arabia-W,Historical,25.17,N,*, 37.75,E,1370,Volcanic field,D6,M0
0301-05=,03,01,-05-,Ithnayn_Harrat,Arabia-W,Holocene,26.58,N,*, 40.20,E,1625,Volcanic field,U,M0
0301-06=,03,01,-06-,Khaybar_Harrat,Arabia-W,Historical,25.00,N,*, 39.92,E,2093,Volcanic field,D6,M0
0301-071,03,01,-071,Kishb_Harrat,Arabia-W,Holocene,22.80,N,*, 41.38,E,1475,Volcanic field,U,M0
0301-072,03,01,-072,Birk_Harrat_al,Arabia-W,Holocene,18.37,N,*, 41.63,E,381,Volcanic field,U,M0
0301-07=,03,01,-07-,Rahat_Harrat,Arabia-W,Historical,23.08,N,*, 39.78,E,1744,Volcanic field,D6,M0
0301-08-,03,01,-08-,Yar_Jabal,Arabia-W,Historical,17.05,N,*, 42.83,E,305,Volcanic field,D3,M0
0301-09-,03,01,-09-,Arhab_Harra_of,Arabia-S,Historical,15.63,N,*, 44.08,E,3100,Volcanic field,D6,M0
0301-10-,03,01,-10-,Marha_Jabal_el-,Arabia-S,Holocene?,15.245,N,, 44.236,E,2506,Tuff cone,?,M0
0301-11-,03,01,-11-,Haylan_Jabal,Arabia-S,Anthropology,15.43,N,*, 44.78,E,1550,Volcanic field,D7,M0
0301-12-,03,01,-12-,Dhamar_Harras_of,Arabia-S,Historical,14.57,N,*, 44.67,E,3500,Volcanic field,D2,M0
0301-15-,03,01,-15-,Unnamed,Arabia-S,Uncertain,12.25,N,, 45.00,E,,Submarine volcano,?,U0
0301-16-,03,01,-16-,Sawad_Harra_es,Arabia-S,Historical,13.58,N,*, 46.12,E,1737,Volcanic field,D6,M0
0301-17-,03,01,-17-,Harra_of_Bal_Haf,Arabia-S,Holocene,14.05,N,*, 48.33,E,233,Volcanic field,U,M0
0301-18-,03,01,-18-,Bir_Borhut,Arabia-S,Holocene?,15.55,N,*, 50.63,E,,Volcanic field,?,M0
